College,Stream,Category,Opening_Rank,Closing_Rank
IIT-Bhub,CSE,Open,1404,2092
IIT-Bhub,CSE,OBC,501,861
IIT-Bhub,CSE,SC,56,422
IIT-Bhub,CSE,ST,155,254
IIT-Bhub,Civil,Open,5057,8116
IIT-Bhub,Civil,OBC,1649,2825
IIT-Bhub,Civil,SC,1054,1284
IIT-Bhub,Civil,ST,407,430
IIT-Bhub,EE,Open,3249,4492
IIT-Bhub,EE,OBC,1546,1860
IIT-Bhub,EE,SC,874,1029
IIT-Bhub,EE,ST,421,505
IIT-Bhub,MECH,Open,3752,5102
IIT-Bhub,MECH,OBC,1427,2125
IIT-Bhub,MECH,SC,1062,1080
IIT-Bhub,MECH,ST,461,475
IIT-B,CSE,Open,1,59
IIT-B,CSE,OBC,9,37
IIT-B,CSE,SC,1,14
IIT-B,CSE,ST,1,9
IIT-B,Civil,Open,1443,2544
IIT-B,Civil,OBC,601,1086
IIT-B,Civil,SC,172,439
IIT-B,Civil,ST,93,139
IIT-B,EE,Open,43,265
IIT-B,EE,OBC,50,177
IIT-B,EE,SC,17,76
IIT-B,EE,ST,14,45
IIT-B,MECH,Open,305,848
IIT-B,MECH,OBC,117,449
IIT-B,MECH,SC,38,180
IIT-B,MECH,ST,11,67
IIT-D,CSE,Open,3,100
IIT-D,CSE,OBC,38,65
IIT-D,CSE,SC,16,31
IIT-D,CSE,ST,12,25
IIT-D,Civil,Open,792,3107
IIT-D,Civil,OBC,743,1224
IIT-D,Civil,SC,153,491
IIT-D,Civil,ST,29,87
IIT-D,EE,Open,172,462
IIT-D,EE,OBC,102,271
IIT-D,EE,SC,32,113
IIT-D,EE,ST,19,69
IIT-D,MECH,Open,545,1025
IIT-D,MECH,OBC,327,547
IIT-D,MECH,SC,166,226
IIT-D,MECH,ST,18,77
IIT-M,CSE,Open,51,200
IIT-M,CSE,OBC,49,89
IIT-M,CSE,SC,22,63
IIT-M,CSE,ST,13,37
IIT-M,Civil,Open,2525,3748
IIT-M,Civil,OBC,664,111
IIT-M,Civil,SC,348,568
IIT-M,Civil,ST,143,209
IIT-M,EE,Open,216,568
IIT-M,EE,OBC,67,279
IIT-M,EE,SC,89,152
IIT-M,EE,ST,57,86
IIT-M,MECH,Open,689,1333
IIT-M,MECH,OBC,269,581
IIT-M,MECH,SC,98,302
IIT-M,MECH,ST,51,103
IIT-Kh,CSE,Open,92,272
IIT-Kh,CSE,OBC,47,137
IIT-Kh,CSE,SC,21,73
IIT-Kh,CSE,ST,23,47
IIT-Kh,Civil,Open,3231,4078
IIT-Kh,Civil,OBC,1169,1605
IIT-Kh,Civil,SC,418,697
IIT-Kh,Civil,ST,190,257
IIT-Kh,EE,Open,612,1101
IIT-Kh,EE,OBC,274,565
IIT-Kh,EE,SC,197,220
IIT-Kh,EE,ST,59,126
IIT-Kh,MECH,Open,1093,1745
IIT-Kh,MECH,OBC,528,722
IIT-Kh,MECH,SC,220,305
IIT-Kh,MECH,ST,133,200
IIT-K,CSE,Open,103,213
IIT-K,CSE,OBC,62,145
IIT-K,CSE,SC,33,74
IIT-K,CSE,ST,27,49
IIT-K,Civil,Open,2229,3707
IIT-K,Civil,OBC,730,1587
IIT-K,Civil,SC,423,698
IIT-K,Civil,ST,173,216
IIT-K,EE,Open,324,803
IIT-K,EE,OBC,182,484
IIT-K,EE,SC,116,216
IIT-K,EE,ST,72,141
IIT-K,MECH,Open,909,1611
IIT-K,MECH,OBC,551,711
IIT-K,MECH,SC,262,414
IIT-K,MECH,ST,107,196
IIT-I,CSE,Open,806,1264
IIT-I,CSE,OBC,289,496
IIT-I,CSE,SC,217,340
IIT-I,CSE,ST,92,214
IIT-I,Civil,Open,5568,7207
IIT-I,Civil,OBC,1968,2780
IIT-I,Civil,SC,904,1242
IIT-I,Civil,ST,335,413
IIT-I,EE,Open,1911,3417
IIT-I,EE,OBC,1213,1546
IIT-I,EE,SC,673,884
IIT-I,EE,ST,318,421
IIT-I,MECH,Open,3168,4905
IIT-I,MECH,OBC,1223,1895
IIT-I,MECH,SC,609,1022
IIT-I,MECH,ST,388,444
IIT-BHU,CSE,Open,527,908
IIT-BHU,CSE,OBC,235,375
IIT-BHU,CSE,SC,137,246
IIT-BHU,CSE,ST,135,151
IIT-BHU,Civil,Open,4411,6740
IIT-BHU,Civil,OBC,1724,2457
IIT-BHU,Civil,SC,615,1168
IIT-BHU,Civil,ST,281,366
IIT-BHU,EE,Open,1843,3016
IIT-BHU,EE,OBC,908,1356
IIT-BHU,EE,SC,594,782
IIT-BHU,EE,ST,250,374
IIT-BHU,MECH,Open,2801,4146
IIT-BHU,MECH,OBC,1165,1599
IIT-BHU,MECH,SC,735,962
IIT-BHU,MECH,ST,298,425
IIT-R,CSE,Open,278,416
IIT-R,CSE,OBC,138,225
IIT-R,CSE,SC,77,108
IIT-R,CSE,ST,58,82
IIT-R,Civil,Open,3268,4756
IIT-R,Civil,OBC,1022,1809
IIT-R,Civil,SC,359,758
IIT-R,Civil,ST,100,244
IIT-R,EE,Open,1101,1735
IIT-R,EE,OBC,557,799
IIT-R,EE,SC,223,446
IIT-R,EE,ST,71,243
IIT-R,MECH,Open,1682,2485
IIT-R,MECH,OBC,691,1029
IIT-R,MECH,SC,376,594
IIT-R,MECH,ST,196,277
IIT-Guwahati,CSE,Open,333,554
IIT-Guwahati,CSE,OBC,210,304
IIT-Guwahati,CSE,SC,117,149
IIT-Guwahati,CSE,ST,35,122
IIT-Guwahati,Civil,Open,3748,5890
IIT-Guwahati,Civil,OBC,1721,2146
IIT-Guwahati,Civil,SC,698,935
IIT-Guwahati,Civil,ST,247,344
IIT-Guwahati,ECE,Open,1063,1564
IIT-Guwahati,ECE,OBC,185,759
IIT-Guwahati,ECE,SC,300,520
IIT-Guwahati,ECE,ST,226,328
IIT-Guwahati,MECH,Open,1681,2942
IIT-Guwahati,MECH,OBC,965,1223
IIT-Guwahati,MECH,SC,449,664
IIT-Guwahati,MECH,ST,206,398
